Project Name,Street Name,Property Type,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Type of Area,Area (SQM),Unit Price ($ PSM),Tenure,Postal District,District Name,Floor Level
TELOK BLANGAH HOUSE,TELOK BLANGAH ROAD,Office,"750,000",365.98,"2,049",May-24,Strata,34,"22,059",Freehold,4," Telok Blangah, Harbourfront",01 to 05
111 SOMERSET,SOMERSET ROAD,Office,"2,200,000",796.54,"2,762",May-24,Strata,74,"29,730",99 yrs lease commencing from 1975,9," Orchard, Cairnhill, River Valley",06 to 10
111 SOMERSET,SOMERSET ROAD,Office,"3,300,000","1,130.22","2,920",May-24,Strata,105,"31,429",99 yrs lease commencing from 1975,9," Orchard, Cairnhill, River Valley",06 to 10
WOODS SQUARE,WOODLANDS SQUARE,Office,"2,700,000",979.52,"2,756",May-24,Strata,91,"29,670",99 yrs lease commencing from 2014,25," Kranji, Woodgrove",01 to 05
LE SHANTIER,BALESTIER ROAD,Office,"1,350,000","1,011.82","1,334",May-24,Strata,94,"14,362",Freehold,12," Balestier, Toa Payoh, Serangoon",01 to 05
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,190,000",559.73,"2,126",May-24,Strata,52,"22,885",99 yrs lease commencing from 2014,25," Kranji, Woodgrove",06 to 10
THE CENTRAL,EU TONG SEN STREET,Office,"4,918,014","1,453.14","3,384",May-24,Strata,135,"36,430",99 yrs lease commencing from 2001,1," Raffles Place, Cecil, Marina, People's Park",16 to 20
THE CENTRAL,EU TONG SEN STREET,Office,"4,081,985","1,205.57","3,386",May-24,Strata,112,"36,446",99 yrs lease commencing from 2001,1," Raffles Place, Cecil, Marina, People's Park",16 to 20
SUNTEC TOWER TWO,TEMASEK BOULEVARD,Office,"5,300,000","1,388.56","3,817",May-24,Strata,129,"41,085",99 yrs lease commencing from 1989,1," Raffles Place, Cecil, Marina, People's Park",36 to 40
PARKLANE SHOPPING MALL,SELEGIE ROAD,Office,"900,000",764.24,"1,178",May-24,Strata,71,"12,676",99 yrs lease commencing from 1974,7," Middle Road, Golden Mile",06 to 10
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,695,000",721.19,"2,350",May-24,Strata,67,"25,299",99 yrs lease commencing from 2011,14," Geylang, Eunos",11 to 15
CONNEXION,FARRER PARK STATION ROAD,Office,"11,625,000","2,325.02","5,000",May-24,Strata,216,"53,819",99 yrs lease commencing from 2007,8, Little India,06 to 10
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,215,000",538.2,"2,258",May-24,Strata,50,"24,300",99 yrs lease commencing from 2011,14," Geylang, Eunos",01 to 05
TEAMBUILD CENTRE,GEYLANG ROAD,Office,"700,000","1,033.34",677,May-24,Strata,96,"7,292",99 yrs lease commencing from 2001,14," Geylang, Eunos",01 to 05
ICON@CHANGI,CHANGI ROAD,Office,"740,000",430.56,"1,719",May-24,Strata,40,"18,500",Freehold,14," Geylang, Eunos",01 to 05
UPPER SERANGOON SHOPPING CENTRE,UPPER SERANGOON ROAD,Office,"550,000",204.52,"2,689",May-24,Strata,19,"28,947",Freehold,19," Serangoon Garden, Hougang, Punggol",01 to 05
WILMER PLACE,ARMENIAN STREET,Office,"26,500,000","7,649.97","3,464",May-24,Land,710.7,"37,287",99 yrs lease commencing from 1947,6," High Street, Beach Road (part)",-
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"2,797,706","1,356.26","2,063",May-24,Strata,126,"22,204",99 yrs lease commencing from 2011,14," Geylang, Eunos",06 to 10
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"2,731,093","1,323.97","2,063",May-24,Strata,123,"22,204",99 yrs lease commencing from 2011,14," Geylang, Eunos",06 to 10
NEW WORLD CENTRE,JALAN BERSEH,Office,"11,587,935","9,235.51","1,255",May-24,Strata,858,"13,506",99 yrs lease commencing from 1994,8, Little India,01 to 05
NEW WORLD CENTRE,JALAN BERSEH,Office,"1,515,864","1,334.74","1,136",May-24,Strata,124,"12,225",99 yrs lease commencing from 1994,8, Little India,01 to 05
NEW WORLD CENTRE,JALAN BERSEH,Office,"7,205,642","5,737.21","1,256",May-24,Strata,533,"13,519",99 yrs lease commencing from 1994,8, Little India,01 to 05
INTERNATIONAL PLAZA,ANSON ROAD,Office,"890,000",462.85,"1,923",May-24,Strata,43,"20,698",99 yrs lease commencing from 1970,2," Anson, Tanjong Pagar",16 to 20
PENINSULA PLAZA,NORTH BRIDGE ROAD,Office,"3,390,000","1,485.43","2,282",May-24,Strata,138,"24,565",999 yrs lease commencing from 1829,6," High Street, Beach Road (part)",16 to 20
NEW WORLD CENTRE,JALAN BERSEH,Office,"4,210,732","4,434.77",949,May-24,Strata,412,"10,220",99 yrs lease commencing from 1994,8, Little India,01 to 05
HAVELOCK2,HAVELOCK ROAD,Office,"698,000",430.56,"1,621",Apr-24,Strata,40,"17,450",99 yrs lease commencing from 1983,1," Raffles Place, Cecil, Marina, People's Park",06 to 10
THE ADELPHI,COLEMAN STREET,Office,"1,520,000",505.91,"3,004",Apr-24,Strata,47,"32,340",999 yrs lease commencing from 1828,6," High Street, Beach Road (part)",06 to 10
FORTUNE CENTRE,MIDDLE ROAD,Office,"2,440,000","1,668.42","1,462",Apr-24,Strata,155,"15,742",99 yrs lease commencing from 1980,7," Middle Road, Golden Mile",06 to 10
CONCORDE SHOPPING CENTRE,OUTRAM ROAD,Office,"600,000",333.68,"1,798",Apr-24,Strata,31,"19,355",99 yrs lease commencing from 1980,3," Queenstown, Tiong Bahru",01 to 05
HIGH STREET PLAZA,HIGH STREET,Office,"825,000",322.92,"2,555",Apr-24,Strata,30,"27,500",999 yrs lease commencing from 1827,6," High Street, Beach Road (part)",01 to 05
INTERNATIONAL PLAZA,ANSON ROAD,Office,"380,000",161.46,"2,354",Apr-24,Strata,15,"25,333",99 yrs lease commencing from 1970,2," Anson, Tanjong Pagar",31 to 35
FORTUNE CENTRE,MIDDLE ROAD,Office,"2,003,000","1,313.21","1,525",Apr-24,Strata,122,"16,418",99 yrs lease commencing from 1980,7," Middle Road, Golden Mile",16 to 20
THE CENTRAL,EU TONG SEN STREET,Office,"1,760,000",645.84,"2,725",Apr-24,Strata,60,"29,333",99 yrs lease commencing from 2001,1," Raffles Place, Cecil, Marina, People's Park",11 to 15
PS100,PECK SEAH STREET,Office,"1,268,000",441.32,"2,873",Apr-24,Strata,41,"30,927",99 yrs lease commencing from 2011,2," Anson, Tanjong Pagar",06 to 10
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,564,212",753.48,"2,076",Apr-24,Strata,70,"22,346",99 yrs lease commencing from 2014,25," Kranji, Woodgrove",01 to 05
