Project Name,Street Name,Property Type,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Type of Area,Area (SQM),Unit Price ($ PSM),Tenure,Postal District,District Name,Floor Level
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,288,000",505.91,"2,546",Sep-23,Strata,47,"27,404",99 yrs lease commencing from 2011,14," Geylang, Eunos",11 to 15
THE ARCADE,COLLYER QUAY,Office,"8,800,000","2,195.86","4,008",Sep-23,Strata,204,"43,137",99 yrs lease commencing from 1980,1," Raffles Place, Cecil, Marina, People's Park",01 to 05
THE PLAZA,BEACH ROAD,Office,"740,000",505.91,"1,463",Sep-23,Strata,47,"15,745",99 yrs lease commencing from 1968,7," Middle Road, Golden Mile",06 to 10
INTERNATIONAL PLAZA,ANSON ROAD,Office,"950,000",462.85,"2,052",Sep-23,Strata,43,"22,093",99 yrs lease commencing from 1970,2," Anson, Tanjong Pagar",11 to 15
SOHO LIFE,JOO CHIAT ROAD,Office,"710,000",387.5,"1,832",Sep-23,Strata,36,"19,722",Freehold,15," Katong, Joo Chiat, Amber Road",01 to 05
CHINATOWN POINT,NEW BRIDGE ROAD,Office,"1,470,000",742.72,"1,979",Sep-23,Strata,69,"21,304",99 yrs lease commencing from 1980,1," Raffles Place, Cecil, Marina, People's Park",06 to 10
CHINATOWN POINT,NEW BRIDGE ROAD,Office,"1,430,000",721.19,"1,983",Sep-23,Strata,67,"21,343",99 yrs lease commencing from 1980,1," Raffles Place, Cecil, Marina, People's Park",06 to 10
PENINSULA PLAZA,NORTH BRIDGE ROAD,Office,"6,000,000","2,174.33","2,759",Sep-23,Strata,202,"29,703",999 yrs lease commencing from 1829,6," High Street, Beach Road (part)",26 to 30
CONCORDE SHOPPING CENTRE,OUTRAM ROAD,Office,"360,000",161.46,"2,230",Sep-23,Strata,15,"24,000",99 yrs lease commencing from 1980,3," Queenstown, Tiong Bahru",B1 to B5
VISION EXCHANGE,VENTURE DRIVE,Office,"1,128,000",516.67,"2,183",Sep-23,Strata,48,"23,500",99 yrs lease commencing from 2013,22, Jurong,11 to 15
EON SHENTON,SHENTON WAY,Office,"1,050,000",505.91,"2,075",Sep-23,Strata,47,"22,340",99 yrs lease commencing from 2011,2," Anson, Tanjong Pagar",16 to 20
SOHO LIFE,JOO CHIAT ROAD,Office,"678,000",344.45,"1,968",Sep-23,Strata,32,"21,188",Freehold,15," Katong, Joo Chiat, Amber Road",01 to 05
CITY PLAZA,GEYLANG ROAD,Office,"5,800,000","1,130.22","5,132",Sep-23,Strata,105,"55,238",Freehold,14," Geylang, Eunos",01 to 05
HOUGANG GREEN SHOPPING MALL,HOUGANG STREET 51,Office,"1,150,000",269.1,"4,274",Sep-23,Strata,25,"46,000",99 yrs lease commencing from 1994,19," Serangoon Garden, Hougang, Punggol",01 to 05
ONE CLAYMORE,CLAYMORE DRIVE,Office,"2,850,000","1,227.10","2,323",Aug-23,Strata,114,"25,000",Freehold,9," Orchard, Cairnhill, River Valley",06 to 10
STUDIO8,JALAN AYER,Office,"760,000",409.03,"1,858",Aug-23,Strata,38,"20,000",Freehold,14," Geylang, Eunos",01 to 05
INTERNATIONAL PLAZA,ANSON ROAD,Office,"890,000",462.85,"1,923",Aug-23,Strata,43,"20,698",99 yrs lease commencing from 1970,2," Anson, Tanjong Pagar",31 to 35
INTERNATIONAL PLAZA,ANSON ROAD,Office,"890,000",462.85,"1,923",Aug-23,Strata,43,"20,698",99 yrs lease commencing from 1970,2," Anson, Tanjong Pagar",31 to 35
EMERALD GARDEN,CLUB STREET,Office,"3,050,000",828.83,"3,680",Aug-23,Strata,77,"39,610",999 yrs lease commencing from 1827,1," Raffles Place, Cecil, Marina, People's Park",01 to 05
111 SOMERSET,SOMERSET ROAD,Office,"3,690,000","1,367.03","2,699",Aug-23,Strata,127,"29,055",99 yrs lease commencing from 1975,9," Orchard, Cairnhill, River Valley",06 to 10
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"2,380,000","1,011.82","2,352",Aug-23,Strata,94,"25,319",99 yrs lease commencing from 2011,14," Geylang, Eunos",01 to 05
UPPER SERANGOON SHOPPING CENTRE,UPPER SERANGOON ROAD,Office,"428,000",204.52,"2,093",Aug-23,Strata,19,"22,526",Freehold,19," Serangoon Garden, Hougang, Punggol",01 to 05
INTERNATIONAL PLAZA,ANSON ROAD,Office,"787,100",462.85,"1,701",Aug-23,Strata,43,"18,305",99 yrs lease commencing from 1970,2," Anson, Tanjong Pagar",06 to 10
SOHO LIFE,JOO CHIAT ROAD,Office,"680,000",344.45,"1,974",Aug-23,Strata,32,"21,250",Freehold,15," Katong, Joo Chiat, Amber Road",01 to 05
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,118,000",538.2,"2,077",Aug-23,Strata,50,"22,360",99 yrs lease commencing from 2011,14," Geylang, Eunos",01 to 05
WOODS SQUARE,WOODLANDS SQUARE,Office,"970,000",656.6,"1,477",Aug-23,Strata,61,"15,902",99 yrs lease commencing from 2014,25," Kranji, Woodgrove",01 to 05
PS100,PECK SEAH STREET,Office,"1,300,000",473.62,"2,745",Aug-23,Strata,44,"29,545",99 yrs lease commencing from 2011,2," Anson, Tanjong Pagar",06 to 10
BYLANDS BUILDING,MIDDLE ROAD,Office,"308,000",139.93,"2,201",Aug-23,Strata,13,"23,692",99 yrs lease commencing from 1978,7," Middle Road, Golden Mile",01 to 05
THE MODULES,JOO CHIAT ROAD,Office,"911,888",473.62,"1,925",Aug-23,Strata,44,"20,725",Freehold,15," Katong, Joo Chiat, Amber Road",01 to 05
VIVA VISTA,SOUTH BUONA VISTA ROAD,Office,"550,000",409.03,"1,345",Aug-23,Strata,38,"14,474",Freehold,5," Pasir Panjang, Hong Leong Garden, Clementi New Town",B1 to B5
THE CENTRAL,EU TONG SEN STREET,Office,"1,833,000",645.84,"2,838",Aug-23,Strata,60,"30,550",99 yrs lease commencing from 2001,1," Raffles Place, Cecil, Marina, People's Park",06 to 10
PARKLANE SHOPPING MALL,SELEGIE ROAD,Office,"1,028,000",861.12,"1,194",Aug-23,Strata,80,"12,850",99 yrs lease commencing from 1974,7," Middle Road, Golden Mile",06 to 10
SOHO LIFE,JOO CHIAT ROAD,Office,"725,000",419.8,"1,727",Aug-23,Strata,39,"18,590",Freehold,15," Katong, Joo Chiat, Amber Road",01 to 05
CONCORDE SHOPPING CENTRE,OUTRAM ROAD,Office,"436,000",290.63,"1,500",Aug-23,Strata,27,"16,148",99 yrs lease commencing from 1980,3," Queenstown, Tiong Bahru",B1 to B5
THE CENTRAL,EU TONG SEN STREET,Office,"1,800,000",645.84,"2,787",Aug-23,Strata,60,"30,000",99 yrs lease commencing from 2001,1," Raffles Place, Cecil, Marina, People's Park",21 to 25
SOHO LIFE,JOO CHIAT ROAD,Office,"725,800",398.27,"1,822",Aug-23,Strata,37,"19,616",Freehold,15," Katong, Joo Chiat, Amber Road",01 to 05
CT HUB 2,LAVENDER STREET,Office,"1,250,000",624.31,"2,002",Aug-23,Strata,58,"21,552",63 yrs lease commencing from 2012,12," Balestier, Toa Payoh, Serangoon",06 to 10
NOMU,HANDY ROAD,Office,"23,988,888","6,329.23","3,790",Aug-23,Strata,588,"40,797",Freehold,9," Orchard, Cairnhill, River Valley",01 to 05
INTERNATIONAL PLAZA,ANSON ROAD,Office,"1,050,000",462.85,"2,269",Aug-23,Strata,43,"24,419",99 yrs lease commencing from 1970,2," Anson, Tanjong Pagar",16 to 20
VISION EXCHANGE,VENTURE DRIVE,Office,"1,806,000",764.24,"2,363",Jul-23,Strata,71,"25,437",99 yrs lease commencing from 2013,22, Jurong,11 to 15
WOODS SQUARE,WOODLANDS SQUARE,Office,"2,700,000","1,259.39","2,144",Jul-23,Strata,117,"23,077",99 yrs lease commencing from 2014,25," Kranji, Woodgrove",11 to 15
HOA NAM BUILDING,FOCH ROAD,Office,"760,000",344.45,"2,206",Jul-23,Strata,32,"23,750",Freehold,8, Little India,01 to 05
ICON@CHANGI,CHANGI ROAD,Office,"638,000",365.98,"1,743",Jul-23,Strata,34,"18,765",Freehold,14," Geylang, Eunos",01 to 05
HOA NAM BUILDING,FOCH ROAD,Office,"720,000",344.45,"2,090",Jul-23,Strata,32,"22,500",Freehold,8, Little India,01 to 05
CENTROPOD @ CHANGI,CHANGI ROAD,Office,"1,038,000",688.9,"1,507",Jul-23,Strata,64,"16,219",Freehold,14," Geylang, Eunos",01 to 05
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,404,888",645.84,"2,175",Jul-23,Strata,60,"23,415",99 yrs lease commencing from 2014,25," Kranji, Woodgrove",11 to 15
CHINATOWN POINT,NEW BRIDGE ROAD,Office,"1,830,000","1,054.87","1,735",Jul-23,Strata,98,"18,673",99 yrs lease commencing from 1980,1," Raffles Place, Cecil, Marina, People's Park",06 to 10
TEXTILE CENTRE,JALAN SULTAN,Office,"938,000",882.65,"1,063",Jul-23,Strata,82,"11,439",99 yrs lease commencing from 1970,7," Middle Road, Golden Mile",06 to 10
ICON@CHANGI,CHANGI ROAD,Office,"700,000",365.98,"1,913",Jul-23,Strata,34,"20,588",Freehold,14," Geylang, Eunos",01 to 05
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,268,000",538.2,"2,356",Jul-23,Strata,50,"25,360",99 yrs lease commencing from 2011,14," Geylang, Eunos",11 to 15
111 SOMERSET,SOMERSET ROAD,Office,"1,912,086",721.19,"2,651",Jul-23,Strata,67,"28,539",99 yrs lease commencing from 1975,9," Orchard, Cairnhill, River Valley",06 to 10
111 SOMERSET,SOMERSET ROAD,Office,"2,544,500",893.41,"2,848",Jul-23,Strata,83,"30,657",99 yrs lease commencing from 1975,9," Orchard, Cairnhill, River Valley",06 to 10
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,246,230",548.96,"2,270",Jul-23,Strata,51,"24,436",99 yrs lease commencing from 2011,14," Geylang, Eunos",06 to 10
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,246,230",548.96,"2,270",Jul-23,Strata,51,"24,436",99 yrs lease commencing from 2011,14," Geylang, Eunos",06 to 10
CT HUB 2,LAVENDER STREET,Office,"1,467,570",688.9,"2,130",Jul-23,Strata,64,"22,931",63 yrs lease commencing from 2012,12," Balestier, Toa Payoh, Serangoon",11 to 15
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,184,593",559.73,"2,116",Jul-23,Strata,52,"22,781",99 yrs lease commencing from 2014,25," Kranji, Woodgrove",06 to 10
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,392,861",656.6,"2,121",Jul-23,Strata,61,"22,834",99 yrs lease commencing from 2014,25," Kranji, Woodgrove",11 to 15
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,169,231",559.73,"2,089",Jul-23,Strata,52,"22,485",99 yrs lease commencing from 2014,25," Kranji, Woodgrove",11 to 15
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,340,265",645.84,"2,075",Jul-23,Strata,60,"22,338",99 yrs lease commencing from 2014,25," Kranji, Woodgrove",06 to 10
SUNSHINE PLAZA,BENCOOLEN STREET,Office,"1,040,000",516.67,"2,013",Jul-23,Strata,48,"21,667",99 yrs lease commencing from 1997,7," Middle Road, Golden Mile",06 to 10
VISION EXCHANGE,VENTURE DRIVE,Office,"1,671,499",839.59,"1,991",Jul-23,Strata,78,"21,429",99 yrs lease commencing from 2013,22, Jurong,06 to 10
SUNTEC TOWER TWO,TEMASEK BOULEVARD,Office,"16,518,150","7,028.89","2,350",Jul-23,Strata,653,"25,296",99 yrs lease commencing from 1989,1," Raffles Place, Cecil, Marina, People's Park",06 to 10
INTERNATIONAL PLAZA,ANSON ROAD,Office,"1,731,600",936.47,"1,849",Jul-23,Strata,87,"19,903",99 yrs lease commencing from 1970,2," Anson, Tanjong Pagar",21 to 25
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,379,000",656.6,"2,100",Jul-23,Strata,61,"22,607",99 yrs lease commencing from 2014,25," Kranji, Woodgrove",06 to 10
SUNTEC TOWER TWO,TEMASEK BOULEVARD,Office,"11,612,600","3,745.87","3,100",Jul-23,Strata,348,"33,370",99 yrs lease commencing from 1989,1," Raffles Place, Cecil, Marina, People's Park",16 to 20
SOLITAIRE ON CECIL,CECIL STREET,Office,"51,184,000","12,464.71","4,106",Jul-23,Strata,"1,158","44,200",Freehold,1," Raffles Place, Cecil, Marina, People's Park",06 to 10
SOLITAIRE ON CECIL,CECIL STREET,Office,"52,054,000","12,464.71","4,176",Jul-23,Strata,"1,158","44,952",Freehold,1," Raffles Place, Cecil, Marina, People's Park",11 to 15
SUNTEC TOWER ONE,TEMASEK BOULEVARD,Office,"11,502,600","4,036.50","2,850",Jul-23,Strata,375,"30,674",99 yrs lease commencing from 1989,1," Raffles Place, Cecil, Marina, People's Park",06 to 10
SOHO LIFE,JOO CHIAT ROAD,Office,"695,000",387.5,"1,794",Jul-23,Strata,36,"19,306",Freehold,15," Katong, Joo Chiat, Amber Road",01 to 05
ORCHARD TOWERS,ORCHARD ROAD,Office,"927,340",398.27,"2,328",Jul-23,Strata,37,"25,063",Freehold,9," Orchard, Cairnhill, River Valley",11 to 15
SOHO LIFE,JOO CHIAT ROAD,Office,"665,000",344.45,"1,931",Jun-23,Strata,32,"20,781",Freehold,15," Katong, Joo Chiat, Amber Road",01 to 05
MANHATTAN HOUSE,CHIN SWEE ROAD,Office,"550,000",441.32,"1,246",Jun-23,Strata,41,"13,415",99 yrs lease commencing from 1969,3," Queenstown, Tiong Bahru",06 to 10
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,189,440",559.73,"2,125",Jun-23,Strata,52,"22,874",99 yrs lease commencing from 2014,25," Kranji, Woodgrove",11 to 15
THE PLAZA,BEACH ROAD,Office,"310,000",150.7,"2,057",Jun-23,Strata,14,"22,143",99 yrs lease commencing from 1968,7," Middle Road, Golden Mile",01 to 05
SOLITAIRE ON CECIL,CECIL STREET,Office,"10,081,929","2,529.54","3,986",Jun-23,Strata,235,"42,902",Freehold,1," Raffles Place, Cecil, Marina, People's Park",06 to 10
SOLITAIRE ON CECIL,CECIL STREET,Office,"7,910,261","1,980.58","3,994",Jun-23,Strata,184,"42,991",Freehold,1," Raffles Place, Cecil, Marina, People's Park",06 to 10
SOLITAIRE ON CECIL,CECIL STREET,Office,"4,431,423","1,108.69","3,997",Jun-23,Strata,103,"43,024",Freehold,1," Raffles Place, Cecil, Marina, People's Park",06 to 10
SOLITAIRE ON CECIL,CECIL STREET,Office,"5,087,504","1,270.15","4,005",Jun-23,Strata,118,"43,114",Freehold,1," Raffles Place, Cecil, Marina, People's Park",06 to 10
SOLITAIRE ON CECIL,CECIL STREET,Office,"4,783,907","1,162.51","4,115",Jun-23,Strata,108,"44,295",Freehold,1," Raffles Place, Cecil, Marina, People's Park",06 to 10
SOLITAIRE ON CECIL,CECIL STREET,Office,"5,265,647","1,280.92","4,111",Jun-23,Strata,119,"44,249",Freehold,1," Raffles Place, Cecil, Marina, People's Park",06 to 10
SOLITAIRE ON CECIL,CECIL STREET,Office,"5,668,890","1,377.79","4,114",Jun-23,Strata,128,"44,288",Freehold,1," Raffles Place, Cecil, Marina, People's Park",06 to 10
SOLITAIRE ON CECIL,CECIL STREET,Office,"7,253,689","1,754.53","4,134",Jun-23,Strata,163,"44,501",Freehold,1," Raffles Place, Cecil, Marina, People's Park",06 to 10
ORCHARD TOWERS,ORCHARD ROAD,Office,"728,000",301.39,"2,415",Jun-23,Strata,28,"26,000",Freehold,9," Orchard, Cairnhill, River Valley",01 to 05
INTERNATIONAL PLAZA,ANSON ROAD,Office,"3,050,000","1,453.14","2,099",Jun-23,Strata,135,"22,593",99 yrs lease commencing from 1970,2," Anson, Tanjong Pagar",11 to 15
SOHO LIFE,JOO CHIAT ROAD,Office,"640,000",344.45,"1,858",Jun-23,Strata,32,"20,000",Freehold,15," Katong, Joo Chiat, Amber Road",01 to 05
SUNTEC TOWER THREE,TEMASEK BOULEVARD,Office,"13,797,200","4,058.03","3,400",Jun-23,Strata,377,"36,597",99 yrs lease commencing from 1989,1," Raffles Place, Cecil, Marina, People's Park",31 to 35
INTERNATIONAL PLAZA,ANSON ROAD,Office,"1,650,000",936.47,"1,762",Jun-23,Strata,87,"18,966",99 yrs lease commencing from 1970,2," Anson, Tanjong Pagar",06 to 10
OXLEY TOWER,ROBINSON ROAD,Office,"880,000",236.81,"3,716",Jun-23,Strata,22,"40,000",Freehold,1," Raffles Place, Cecil, Marina, People's Park",01 to 05
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,190,000",516.67,"2,303",Jun-23,Strata,48,"24,792",99 yrs lease commencing from 2011,14," Geylang, Eunos",06 to 10
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,190,000",505.91,"2,352",Jun-23,Strata,47,"25,319",99 yrs lease commencing from 2011,14," Geylang, Eunos",06 to 10
PLUS,CECIL STREET,Office,"7,017,300","2,034.40","3,449",Jun-23,Strata,189,"37,129",99 yrs lease commencing from 1989,1," Raffles Place, Cecil, Marina, People's Park",26 to 30
SHENTON HOUSE,SHENTON WAY,Office,"838,508",441.32,"1,900",Jun-23,Strata,41,"20,451",99 yrs lease commencing from 1969,1," Raffles Place, Cecil, Marina, People's Park",06 to 10
HAVELOCK2,HAVELOCK ROAD,Office,"650,000",409.03,"1,589",Jun-23,Strata,38,"17,105",99 yrs lease commencing from 1983,1," Raffles Place, Cecil, Marina, People's Park",01 to 05
PLUS,CECIL STREET,Office,"3,974,400","1,151.75","3,451",Jun-23,Strata,107,"37,144",99 yrs lease commencing from 1989,1," Raffles Place, Cecil, Marina, People's Park",26 to 30
THE PLAZA,BEACH ROAD,Office,"610,000",333.68,"1,828",Jun-23,Strata,31,"19,677",99 yrs lease commencing from 1968,7," Middle Road, Golden Mile",11 to 15
VISION EXCHANGE,VENTURE DRIVE,Office,"1,080,000",516.67,"2,090",Jun-23,Strata,48,"22,500",99 yrs lease commencing from 2013,22, Jurong,06 to 10
OKIO,BALESTIER ROAD,Office,"1,600,000",753.48,"2,123",Jun-23,Strata,70,"22,857",Freehold,12," Balestier, Toa Payoh, Serangoon",01 to 05
TAHIR BUILDING,ROBINSON ROAD,Office,"3,550,000",925.7,"3,835",Jun-23,Strata,86,"41,279",Freehold,1," Raffles Place, Cecil, Marina, People's Park",06 to 10
PLUS,CECIL STREET,Office,"8,355,900","2,421.90","3,450",Jun-23,Strata,225,"37,137",99 yrs lease commencing from 1989,1," Raffles Place, Cecil, Marina, People's Park",26 to 30
THE MEZZO,BALESTIER ROAD,Office,"1,380,000",818.06,"1,687",Jun-23,Strata,76,"18,158",Freehold,12," Balestier, Toa Payoh, Serangoon",01 to 05
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,075,000",484.38,"2,219",Jun-23,Strata,45,"23,889",99 yrs lease commencing from 2011,14," Geylang, Eunos",01 to 05
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,075,000",484.38,"2,219",Jun-23,Strata,45,"23,889",99 yrs lease commencing from 2011,14," Geylang, Eunos",01 to 05
MANHATTAN HOUSE,CHIN SWEE ROAD,Office,"680,000",527.44,"1,289",Jun-23,Strata,49,"13,878",99 yrs lease commencing from 1969,3," Queenstown, Tiong Bahru",11 to 15
PS100,PECK SEAH STREET,Office,"1,315,000",473.62,"2,777",Jun-23,Strata,44,"29,886",99 yrs lease commencing from 2011,2," Anson, Tanjong Pagar",06 to 10
THE CENTRAL,EU TONG SEN STREET,Office,"1,480,000",635.08,"2,330",Jun-23,Strata,59,"25,085",99 yrs lease commencing from 2001,1," Raffles Place, Cecil, Marina, People's Park",06 to 10
BUKIT TIMAH SHOPPING CENTRE,UPPER BUKIT TIMAH ROAD,Office,"450,000",139.93,"3,216",Jun-23,Strata,13,"34,615",999 yrs lease commencing from 1883,21," Upper Bukit Timah, Clementi Park, Ulu Pandan",01 to 05
ROBINSON SQUARE,ROBINSON ROAD,Office,"3,350,000","1,184.04","2,829",Jun-23,Strata,110,"30,455",Freehold,1," Raffles Place, Cecil, Marina, People's Park",06 to 10
THE CENTRAL,EU TONG SEN STREET,Office,"1,690,000",602.78,"2,804",Jun-23,Strata,56,"30,179",99 yrs lease commencing from 2001,1," Raffles Place, Cecil, Marina, People's Park",06 to 10
111 SOMERSET,SOMERSET ROAD,Office,"2,192,300",764.24,"2,869",Jun-23,Strata,71,"30,877",99 yrs lease commencing from 1975,9," Orchard, Cairnhill, River Valley",06 to 10
111 SOMERSET,SOMERSET ROAD,Office,"3,564,300","1,227.10","2,905",Jun-23,Strata,114,"31,266",99 yrs lease commencing from 1975,9," Orchard, Cairnhill, River Valley",06 to 10
PLUS,CECIL STREET,Office,"3,275,000","1,097.93","2,983",May-23,Strata,102,"32,108",99 yrs lease commencing from 1989,1," Raffles Place, Cecil, Marina, People's Park",06 to 10
SOUTHBANK,NORTH BRIDGE ROAD,Office,"950,000",462.85,"2,052",May-23,Strata,43,"22,093",99 yrs lease commencing from 2006,7," Middle Road, Golden Mile",01 to 05
BUKIT TIMAH SHOPPING CENTRE,UPPER BUKIT TIMAH ROAD,Office,"580,000",226.04,"2,566",May-23,Strata,21,"27,619",999 yrs lease commencing from 1883,21," Upper Bukit Timah, Clementi Park, Ulu Pandan",06 to 10
CHINATOWN POINT,NEW BRIDGE ROAD,Office,"4,950,000","2,486.48","1,991",May-23,Strata,231,"21,429",99 yrs lease commencing from 1980,1," Raffles Place, Cecil, Marina, People's Park",21 to 25
VISION EXCHANGE,VENTURE DRIVE,Office,"1,000,000",441.32,"2,266",May-23,Strata,41,"24,390",99 yrs lease commencing from 2013,22, Jurong,11 to 15
SUNTEC TOWER TWO,TEMASEK BOULEVARD,Office,"12,568,610","4,348.66","2,890",May-23,Strata,404,"31,110",99 yrs lease commencing from 1989,1," Raffles Place, Cecil, Marina, People's Park",06 to 10
THE SUNFLOWER,GEYLANG ROAD,Office,"1,480,000","1,399.32","1,058",May-23,Strata,130,"11,385",Freehold,14," Geylang, Eunos",01 to 05
ORCHARD TOWERS,ORCHARD ROAD,Office,"1,890,000",796.54,"2,373",May-23,Strata,74,"25,541",Freehold,9," Orchard, Cairnhill, River Valley",06 to 10
SOLITAIRE ON CECIL,CECIL STREET,Office,"56,205,000","13,132.08","4,280",May-23,Strata,"1,220","46,070",Freehold,1," Raffles Place, Cecil, Marina, People's Park",16 to 20
GOLDHILL PLAZA,GOLDHILL PLAZA,Office,"2,350,000","1,184.04","1,985",May-23,Strata,110,"21,364",999 yrs lease commencing from 1972,11," Watten Estate, Novena, Thomson",01 to 05
SUNTEC TOWER THREE,TEMASEK BOULEVARD,Office,"9,955,200","2,927.81","3,400",May-23,Strata,272,"36,600",99 yrs lease commencing from 1989,1," Raffles Place, Cecil, Marina, People's Park",31 to 35
CT HUB 2,LAVENDER STREET,Office,"1,279,080",645.84,"1,980",May-23,Strata,60,"21,318",63 yrs lease commencing from 2012,12," Balestier, Toa Payoh, Serangoon",11 to 15
CT HUB 2,LAVENDER STREET,Office,"1,342,440",678.13,"1,980",May-23,Strata,63,"21,309",63 yrs lease commencing from 2012,12," Balestier, Toa Payoh, Serangoon",11 to 15
ICON@CHANGI,CHANGI ROAD,Office,"800,000",430.56,"1,858",May-23,Strata,40,"20,000",Freehold,14," Geylang, Eunos",01 to 05
LUCKY PLAZA,ORCHARD ROAD,Office,"3,300,000",419.8,"7,861",May-23,Strata,39,"84,615",Freehold,9," Orchard, Cairnhill, River Valley",01 to 05
CONCORDE SHOPPING CENTRE,OUTRAM ROAD,Office,"583,000",301.39,"1,934",May-23,Strata,28,"20,821",99 yrs lease commencing from 1980,3," Queenstown, Tiong Bahru",01 to 05
THE ODEON KATONG,EAST COAST ROAD,Office,"1,200,000",344.45,"3,484",May-23,Strata,32,"37,500",Freehold,15," Katong, Joo Chiat, Amber Road",01 to 05
SUNTEC TOWER THREE,TEMASEK BOULEVARD,Office,"12,592,800","3,498.30","3,600",May-23,Strata,325,"38,747",99 yrs lease commencing from 1989,1," Raffles Place, Cecil, Marina, People's Park",21 to 25
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"2,050,000",958,"2,140",May-23,Strata,89,"23,034",99 yrs lease commencing from 2011,14," Geylang, Eunos",01 to 05
SUNTEC TOWER THREE,TEMASEK BOULEVARD,Office,"12,943,599","3,498.30","3,700",May-23,Strata,325,"39,826",99 yrs lease commencing from 1989,1," Raffles Place, Cecil, Marina, People's Park",21 to 25
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,165,800",559.73,"2,083",May-23,Strata,52,"22,419",99 yrs lease commencing from 2014,25," Kranji, Woodgrove",06 to 10
CONCORDE SHOPPING CENTRE,OUTRAM ROAD,Office,"470,000",322.92,"1,455",May-23,Strata,30,"15,667",99 yrs lease commencing from 1980,3," Queenstown, Tiong Bahru",01 to 05
CONCORDE SHOPPING CENTRE,OUTRAM ROAD,Office,"490,600",301.39,"1,628",May-23,Strata,28,"17,521",99 yrs lease commencing from 1980,3," Queenstown, Tiong Bahru",01 to 05
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,010,000",559.73,"1,804",May-23,Strata,52,"19,423",99 yrs lease commencing from 2014,25," Kranji, Woodgrove",01 to 05
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,105,970",559.73,"1,976",May-23,Strata,52,"21,269",99 yrs lease commencing from 2014,25," Kranji, Woodgrove",06 to 10
CT HUB 2,LAVENDER STREET,Office,"6,252,880","3,326.08","1,880",May-23,Strata,309,"20,236",63 yrs lease commencing from 2012,12," Balestier, Toa Payoh, Serangoon",11 to 15
CT HUB 2,LAVENDER STREET,Office,"2,630,120","1,399.32","1,880",May-23,Strata,130,"20,232",63 yrs lease commencing from 2012,12," Balestier, Toa Payoh, Serangoon",11 to 15
BUKIT TIMAH SHOPPING CENTRE,UPPER BUKIT TIMAH ROAD,Office,"820,000",182.99,"4,481",May-23,Strata,17,"48,235",999 yrs lease commencing from 1883,21," Upper Bukit Timah, Clementi Park, Ulu Pandan",01 to 05
SUNTEC TOWER ONE,TEMASEK BOULEVARD,Office,"13,551,550","3,638.23","3,725",Apr-23,Strata,338,"40,093",99 yrs lease commencing from 1989,1," Raffles Place, Cecil, Marina, People's Park",26 to 30
THE PLAZA,BEACH ROAD,Office,"688,000",430.56,"1,598",Apr-23,Strata,40,"17,200",99 yrs lease commencing from 1968,7," Middle Road, Golden Mile",06 to 10
THE CENTRAL,EU TONG SEN STREET,Office,"1,900,000",635.08,"2,992",Apr-23,Strata,59,"32,203",99 yrs lease commencing from 2001,1," Raffles Place, Cecil, Marina, People's Park",06 to 10
CT HUB 2,LAVENDER STREET,Office,"1,207,440",624.31,"1,934",Apr-23,Strata,58,"20,818",63 yrs lease commencing from 2012,12," Balestier, Toa Payoh, Serangoon",11 to 15
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,183,600",538.2,"2,199",Apr-23,Strata,50,"23,672",99 yrs lease commencing from 2011,14," Geylang, Eunos",01 to 05
INTERNATIONAL PLAZA,ANSON ROAD,Office,"1,710,000",936.47,"1,826",Apr-23,Strata,87,"19,655",99 yrs lease commencing from 1970,2," Anson, Tanjong Pagar",26 to 30
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,160,000",538.2,"2,155",Apr-23,Strata,50,"23,200",99 yrs lease commencing from 2011,14," Geylang, Eunos",06 to 10
JALAN BESAR PLAZA,KITCHENER ROAD,Office,"1,800,000",936.47,"1,922",Apr-23,Strata,87,"20,690",Freehold,8, Little India,01 to 05
VISION EXCHANGE,VENTURE DRIVE,Office,"1,050,000",516.67,"2,032",Apr-23,Strata,48,"21,875",99 yrs lease commencing from 2013,22, Jurong,11 to 15
