Project Name,Street Name,Property Type,Transacted Price ($),Sale Date,Type of Area,Area (SQM),Unit Price ($ PSM),Postal District,District Name,Tenure Type,Lease Years,Floor Min,Floor Max,Floor Category,Transaction Year,Transaction Month
THE PLAZA,BEACH ROAD,Office,490000,2024-08-01,Strata,28.0,17500,7," Middle Road, Golden Mile",Leasehold,99.0,1,5,01-05,2024,8
THE CENTRAL,EU TONG SEN STREET,Office,1700000,2024-08-01,Strata,59.0,28814,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,6,10,06-10,2024,8
THE MODULES,JOO CHIAT ROAD,Office,788888,2024-08-01,Strata,34.0,23203,15," Katong, Joo Chiat, Amber Road",Freehold,,1,5,01-05,2024,8
PEOPLE'S PARK CENTRE,UPPER CROSS STREET,Office,1050000,2024-08-01,Strata,70.0,15000,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,6,10,06-10,2024,8
VISION EXCHANGE,VENTURE DRIVE,Office,2700000,2024-08-01,Strata,129.0,20930,22, Jurong,Leasehold,99.0,16,20,16-20,2024,8
PRUDENTIAL TOWER,CECIL STREET,Office,26500000,2024-08-01,Strata,531.0,49906,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,1,5,01-05,2024,8
TEXTILE CENTRE,JALAN SULTAN,Office,900000,2024-08-01,Strata,82.0,10976,7," Middle Road, Golden Mile",Leasehold,99.0,6,10,06-10,2024,8
SIM LIM TOWER,JALAN BESAR,Office,924000,2024-08-01,Strata,39.0,23692,8, Little India,Freehold,,11,15,11-15,2024,8
PLUS,CECIL STREET,Office,3150000,2024-08-01,Strata,93.0,33871,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,21,25,21+,2024,8
PENINSULA EXCELSIOR HOTEL,COLEMAN STREET,Office,600000,2024-08-01,Strata,35.0,17143,6," High Street, Beach Road (part)",Leasehold,99.0,1,5,01-05,2024,8
INTERNATIONAL PLAZA,ANSON ROAD,Office,1861000,2024-08-01,Strata,91.0,20451,2," Anson, Tanjong Pagar",Leasehold,99.0,16,20,16-20,2024,8
WOODS SQUARE,WOODLANDS SQUARE,Office,3050000,2024-08-01,Strata,145.0,21034,25," Kranji, Woodgrove",Leasehold,99.0,1,5,01-05,2024,8
CHINATOWN POINT,NEW BRIDGE ROAD,Office,4470000,2024-08-01,Strata,231.0,19351,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,21,25,21+,2024,8
FORTUNE CENTRE,MIDDLE ROAD,Office,2380000,2024-08-01,Strata,144.0,16528,7," Middle Road, Golden Mile",Leasehold,99.0,16,20,16-20,2024,8
ROBINSON SQUARE,ROBINSON ROAD,Office,3552000,2024-08-01,Strata,110.0,32291,1," Raffles Place, Cecil, Marina, People's Park",Freehold,,11,15,11-15,2024,8
SOHO LIFE,JOO CHIAT ROAD,Office,750000,2024-08-01,Strata,37.0,20270,15," Katong, Joo Chiat, Amber Road",Freehold,,1,5,01-05,2024,8
TONG ENG BUILDING,CECIL STREET,Office,1350000,2024-08-01,Strata,43.0,31395,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,999.0,6,10,06-10,2024,8
THE MODULES,JOO CHIAT ROAD,Office,931000,2024-08-01,Strata,42.0,22167,15," Katong, Joo Chiat, Amber Road",Freehold,,1,5,01-05,2024,8
THE MODULES,JOO CHIAT ROAD,Office,1120000,2024-08-01,Strata,50.0,22400,15," Katong, Joo Chiat, Amber Road",Freehold,,1,5,01-05,2024,8
BALMORAL PLAZA,BUKIT TIMAH ROAD,Office,2060000,2024-08-01,Strata,71.0,29014,10," Ardmore, Bukit Timah, Holland Road, Tanglin",Freehold,,1,5,01-05,2024,8
SUNSHINE PLAZA,BENCOOLEN STREET,Office,1888000,2024-07-01,Strata,104.0,18154,7," Middle Road, Golden Mile",Leasehold,99.0,6,10,06-10,2024,7
TRIO,SAM LEONG ROAD,Office,758000,2024-07-01,Strata,21.0,36095,8, Little India,Freehold,,1,5,01-05,2024,7
HAVELOCK2,HAVELOCK ROAD,Office,525000,2024-07-01,Strata,31.0,16935,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,1,5,01-05,2024,7
FORTUNE CENTRE,MIDDLE ROAD,Office,2628000,2024-07-01,Strata,159.0,16528,7," Middle Road, Golden Mile",Leasehold,99.0,16,20,16-20,2024,7
BUKIT TIMAH SHOPPING CENTRE,UPPER BUKIT TIMAH ROAD,Office,455000,2024-07-01,Strata,14.0,32500,21," Upper Bukit Timah, Clementi Park, Ulu Pandan",Leasehold,999.0,1,5,01-05,2024,7
PARKLANE SHOPPING MALL,SELEGIE ROAD,Office,550000,2024-07-01,Strata,42.0,13095,7," Middle Road, Golden Mile",Leasehold,99.0,6,10,06-10,2024,7
VISION EXCHANGE,VENTURE DRIVE,Office,1320000,2024-07-01,Strata,71.0,18592,22, Jurong,Leasehold,99.0,6,10,06-10,2024,7
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,1174000,2024-07-01,Strata,50.0,23480,14," Geylang, Eunos",Leasehold,99.0,6,10,06-10,2024,7
HAVELOCK2,HAVELOCK ROAD,Office,560000,2024-07-01,Strata,32.0,17500,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,6,10,06-10,2024,7
PLUS,CECIL STREET,Office,4152900,2024-07-01,Strata,118.0,35194,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,16,20,16-20,2024,7
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,1068000,2024-07-01,Strata,45.0,23733,14," Geylang, Eunos",Leasehold,99.0,6,10,06-10,2024,7
EON SHENTON,SHENTON WAY,Office,4070000,2024-07-01,Strata,158.0,25759,2," Anson, Tanjong Pagar",Leasehold,99.0,6,10,06-10,2024,7
PENINSULA PLAZA,NORTH BRIDGE ROAD,Office,2350000,2024-07-01,Strata,93.0,25269,6," High Street, Beach Road (part)",Leasehold,999.0,21,25,21+,2024,7
THE CENTRAL,EU TONG SEN STREET,Office,2200000,2024-07-01,Strata,81.0,27160,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,16,20,16-20,2024,7
SBF CENTER,ROBINSON ROAD,Office,5825000,2024-07-01,Strata,183.0,31831,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,11,15,11-15,2024,7
THE MEZZO,BALESTIER ROAD,Office,1300000,2024-07-01,Strata,70.0,18571,12," Balestier, Toa Payoh, Serangoon",Freehold,,1,5,01-05,2024,7
SOLITAIRE ON CECIL,CECIL STREET,Office,55150000,2024-07-01,Strata,1220.0,45205,1," Raffles Place, Cecil, Marina, People's Park",Freehold,,11,15,11-15,2024,7
