Project Name,Street Name,Property Type,Transacted Price ($),Sale Date,Type of Area,Area (SQM),Unit Price ($ PSM),Postal District,District Name,Tenure Type,Lease Years,Floor Min,Floor Max,Floor Category,Transaction Year,Transaction Month
WOODS SQUARE,WOODLANDS SQUARE,Office,1821770,2022-03-01,Strata,88.0,20702,25," Kranji, Woodgrove",Leasehold,99.0,1,5,01-05,2022,3
15 SCOTTS,SCOTTS ROAD,Office,2576400,2022-02-01,Strata,63.0,40895,9," Orchard, Cairnhill, River Valley",Freehold,,6,10,06-10,2022,2
CONNEXION,FARRER PARK STATION ROAD,Office,2352000,2022-02-01,Strata,52.0,45231,8, Little India,Leasehold,99.0,11,15,11-15,2022,2
GOLDEN MILE COMPLEX,BEACH ROAD,Office,698000,2022-02-01,Strata,41.0,17024,7," Middle Road, Golden Mile",Leasehold,99.0,6,10,06-10,2022,2
WOODS SQUARE,WOODLANDS SQUARE,Office,1089583,2022-02-01,Strata,52.0,20954,25," Kranji, Woodgrove",Leasehold,99.0,6,10,06-10,2022,2
INTERNATIONAL PLAZA,ANSON ROAD,Office,1831500,2022-02-01,Strata,92.0,19908,2," Anson, Tanjong Pagar",Leasehold,99.0,26,30,21+,2022,2
PENINSULA PLAZA,NORTH BRIDGE ROAD,Office,815900,2022-02-01,Strata,37.0,22051,6," High Street, Beach Road (part)",Leasehold,999.0,1,5,01-05,2022,2
THE ADELPHI,COLEMAN STREET,Office,4750000,2022-02-01,Strata,192.0,24740,6," High Street, Beach Road (part)",Leasehold,999.0,6,10,06-10,2022,2
PENINSULA SHOPPING COMPLEX,COLEMAN STREET,Office,698000,2022-02-01,Strata,30.0,23267,6," High Street, Beach Road (part)",Leasehold,999.0,1,5,01-05,2022,2
THE ADELPHI,COLEMAN STREET,Office,2150000,2022-02-01,Strata,69.0,31159,6," High Street, Beach Road (part)",Leasehold,999.0,-1,-5,Basement,2022,2
SHENTON HOUSE,SHENTON WAY,Office,1158000,2022-02-01,Strata,52.0,22269,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,11,15,11-15,2022,2
15 SCOTTS,SCOTTS ROAD,Office,4457400,2022-02-01,Strata,109.0,40894,9," Orchard, Cairnhill, River Valley",Freehold,,6,10,06-10,2022,2
THE ADELPHI,COLEMAN STREET,Office,7525000,2022-02-01,Strata,264.0,28504,6," High Street, Beach Road (part)",Leasehold,999.0,6,10,06-10,2022,2
ORCHARD PLAZA,ORCHARD ROAD,Office,668000,2022-02-01,Strata,42.0,15905,9," Orchard, Cairnhill, River Valley",Leasehold,99.0,6,10,06-10,2022,2
CHINATOWN POINT,NEW BRIDGE ROAD,Office,4450000,2022-02-01,Strata,231.0,19264,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,21,25,21+,2022,2
SLF BUILDING,THOMSON ROAD,Office,1385000,2022-01-01,Strata,143.0,9685,11," Watten Estate, Novena, Thomson",Leasehold,99.0,6,10,06-10,2022,1
THE CENTRAL,EU TONG SEN STREET,Office,2280000,2022-01-01,Strata,86.0,26512,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,16,20,16-20,2022,1
THE ADELPHI,COLEMAN STREET,Office,3900000,2022-01-01,Strata,134.0,29104,6," High Street, Beach Road (part)",Leasehold,999.0,6,10,06-10,2022,1
SHENTON HOUSE,SHENTON WAY,Office,2280000,2022-01-01,Strata,106.0,21509,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,1,5,01-05,2022,1
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,1088888,2022-01-01,Strata,47.0,23168,14," Geylang, Eunos",Leasehold,99.0,11,15,11-15,2022,1
THE CENTRAL,EU TONG SEN STREET,Office,1860000,2022-01-01,Strata,69.0,26957,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,6,10,06-10,2022,1
PS100,PECK SEAH STREET,Office,1320000,2022-01-01,Strata,48.0,27500,2," Anson, Tanjong Pagar",Leasehold,99.0,6,10,06-10,2022,1
CROSS STREET EXCHANGE,CROSS STREET,Office,810800000,2022-01-01,Land,14006.1,57889,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,,,Unknown,2022,1
EASTGATE,EAST COAST ROAD,Office,1750000,2022-01-01,Strata,108.0,16204,15," Katong, Joo Chiat, Amber Road",Freehold,,6,10,06-10,2022,1
THE PLAZA,BEACH ROAD,Office,388000,2022-01-01,Strata,27.0,14370,7," Middle Road, Golden Mile",Leasehold,99.0,1,5,01-05,2022,1
PRUDENTIAL TOWER,CECIL STREET,Office,11580000,2022-01-01,Strata,330.0,35091,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,21,25,21+,2022,1
THE PLAZA,BEACH ROAD,Office,459000,2022-01-01,Strata,28.0,16393,7," Middle Road, Golden Mile",Leasehold,99.0,1,5,01-05,2022,1
SUNSHINE PLAZA,BENCOOLEN STREET,Office,1285000,2022-01-01,Strata,89.0,14438,7," Middle Road, Golden Mile",Leasehold,99.0,11,15,11-15,2022,1
PIL BUILDING,CECIL STREET,Office,323800000,2022-01-01,Land,1814.9,178412,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,,,Unknown,2022,1
BURLINGTON SQUARE,BENCOOLEN STREET,Office,938000,2022-01-01,Strata,51.0,18392,7," Middle Road, Golden Mile",Leasehold,99.0,11,15,11-15,2022,1
TEXTILE CENTRE,JALAN SULTAN,Office,1120000,2022-01-01,Strata,92.0,12174,7," Middle Road, Golden Mile",Leasehold,99.0,1,5,01-05,2022,1
SAMSUNG HUB,CHURCH STREET,Office,16100000,2022-01-01,Strata,360.0,44722,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,999.0,11,15,11-15,2022,1
EON SHENTON,SHENTON WAY,Office,4311608,2022-01-01,Strata,158.0,27289,2," Anson, Tanjong Pagar",Leasehold,99.0,16,20,16-20,2022,1
HIGH STREET CENTRE,NORTH BRIDGE ROAD,Office,600000,2022-01-01,Strata,35.0,17143,6," High Street, Beach Road (part)",Leasehold,99.0,1,5,01-05,2022,1
SHENTON HOUSE,SHENTON WAY,Office,2373000,2022-01-01,Strata,126.0,18833,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,11,15,11-15,2022,1
GRANDLINK SQUARE,GUILLEMARD ROAD,Office,580000,2022-01-01,Strata,19.0,30526,14," Geylang, Eunos",Freehold,,1,5,01-05,2022,1
OXLEY TOWER,ROBINSON ROAD,Office,3700000,2022-01-01,Strata,108.0,34259,1," Raffles Place, Cecil, Marina, People's Park",Freehold,,16,20,16-20,2022,1
SHENTON HOUSE,SHENTON WAY,Office,2435000,2022-01-01,Strata,126.0,19325,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,6,10,06-10,2022,1
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,933000,2022-01-01,Strata,45.0,20733,14," Geylang, Eunos",Leasehold,99.0,1,5,01-05,2022,1
SIM LIM TOWER,JALAN BESAR,Office,870003,2022-01-01,Strata,39.0,22308,8, Little India,Freehold,,6,10,06-10,2022,1
THE PLAZA,BEACH ROAD,Office,1680000,2022-01-01,Strata,111.0,15135,7," Middle Road, Golden Mile",Leasehold,99.0,6,10,06-10,2022,1
SBF CENTER,ROBINSON ROAD,Office,2447250,2021-12-01,Strata,70.0,34961,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,21,25,21+,2021,12
SHENTON HOUSE,SHENTON WAY,Office,2700000,2021-12-01,Strata,140.0,19286,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,21,25,21+,2021,12
THE CENTRAL,EU TONG SEN STREET,Office,1630000,2021-12-01,Strata,60.0,27167,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,6,10,06-10,2021,12
INTERNATIONAL PLAZA,ANSON ROAD,Office,1808000,2021-12-01,Strata,90.0,20089,2," Anson, Tanjong Pagar",Leasehold,99.0,16,20,16-20,2021,12
HOA NAM BUILDING,FOCH ROAD,Office,1480000,2021-12-01,Strata,67.0,22090,8, Little India,Freehold,,1,5,01-05,2021,12
HIGH STREET CENTRE,NORTH BRIDGE ROAD,Office,1127500,2021-12-01,Strata,51.0,22108,6," High Street, Beach Road (part)",Leasehold,99.0,6,10,06-10,2021,12
GOLDEN MILE TOWER,BEACH ROAD,Office,1460000,2021-12-01,Strata,111.0,13153,7," Middle Road, Golden Mile",Leasehold,99.0,6,10,06-10,2021,12
EON SHENTON,SHENTON WAY,Office,2700000,2021-12-01,Strata,96.0,28125,2," Anson, Tanjong Pagar",Leasehold,99.0,16,20,16-20,2021,12
KATONG SHOPPING CENTRE,MOUNTBATTEN ROAD,Office,550000,2021-12-01,Strata,16.0,34375,15," Katong, Joo Chiat, Amber Road",Freehold,,-1,-5,Basement,2021,12
INTERNATIONAL PLAZA,ANSON ROAD,Office,13700000,2021-12-01,Strata,657.0,20852,2," Anson, Tanjong Pagar",Leasehold,99.0,31,35,21+,2021,12
PS100,PECK SEAH STREET,Office,1068000,2021-12-01,Strata,39.0,27385,2," Anson, Tanjong Pagar",Leasehold,99.0,6,10,06-10,2021,12
THE PLAZA,BEACH ROAD,Office,700000,2021-12-01,Strata,32.0,21875,7," Middle Road, Golden Mile",Leasehold,99.0,-1,-5,Basement,2021,12
GOLDEN MILE TOWER,BEACH ROAD,Office,1100000,2021-12-01,Strata,85.0,12941,7," Middle Road, Golden Mile",Leasehold,99.0,6,10,06-10,2021,12
THE PLAZA,BEACH ROAD,Office,1860000,2021-12-01,Strata,121.0,15372,7," Middle Road, Golden Mile",Leasehold,99.0,16,20,16-20,2021,12
INTERNATIONAL PLAZA,ANSON ROAD,Office,1880000,2021-12-01,Strata,87.0,21609,2," Anson, Tanjong Pagar",Leasehold,99.0,21,25,21+,2021,12
VISION EXCHANGE,VENTURE DRIVE,Office,1010000,2021-12-01,Strata,48.0,21042,22, Jurong,Leasehold,99.0,11,15,11-15,2021,12
THE PLAZA,BEACH ROAD,Office,1316188,2021-12-01,Strata,77.0,17093,7," Middle Road, Golden Mile",Leasehold,99.0,6,10,06-10,2021,12
CT HUB 2,LAVENDER STREET,Office,1051200,2021-12-01,Strata,61.0,17233,12," Balestier, Toa Payoh, Serangoon",Leasehold,63.0,6,10,06-10,2021,12
CT HUB 2,LAVENDER STREET,Office,1102400,2021-12-01,Strata,64.0,17225,12," Balestier, Toa Payoh, Serangoon",Leasehold,63.0,6,10,06-10,2021,12
SOHO LIFE,JOO CHIAT ROAD,Office,563000,2021-12-01,Strata,32.0,17594,15," Katong, Joo Chiat, Amber Road",Freehold,,1,5,01-05,2021,12
WOODS SQUARE,WOODLANDS SQUARE,Office,1121824,2021-12-01,Strata,54.0,20775,25," Kranji, Woodgrove",Leasehold,99.0,1,5,01-05,2021,12
SOHO LIFE,JOO CHIAT ROAD,Office,680000,2021-12-01,Strata,43.0,15814,15," Katong, Joo Chiat, Amber Road",Freehold,,1,5,01-05,2021,12
ROBINSON 112,ROBINSON ROAD,Office,269699625,2021-12-01,Land,909.9,296406,1," Raffles Place, Cecil, Marina, People's Park",Freehold,,,,Unknown,2021,12
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,925000,2021-12-01,Strata,45.0,20556,14," Geylang, Eunos",Leasehold,99.0,1,5,01-05,2021,12
15 SCOTTS,SCOTTS ROAD,Office,2316113,2021-12-01,Strata,57.0,40634,9," Orchard, Cairnhill, River Valley",Freehold,,6,10,06-10,2021,12
THE CENTRAL,EU TONG SEN STREET,Office,3388000,2021-12-01,Strata,113.0,29982,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,16,20,16-20,2021,12
THE CENTRAL,EU TONG SEN STREET,Office,1328000,2021-12-01,Strata,59.0,22508,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,1,5,01-05,2021,12
EAST VILLAGE,UPPER CHANGI ROAD,Office,515000,2021-12-01,Strata,14.0,36786,16," Bedok, Upper East Coast, Eastwood, Kew Drive",Freehold,,1,5,01-05,2021,12
THE CENTRAL,EU TONG SEN STREET,Office,1408888,2021-12-01,Strata,59.0,23879,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,1,5,01-05,2021,12
GRANDLINK SQUARE,GUILLEMARD ROAD,Office,903888,2021-12-01,Strata,45.0,20086,14," Geylang, Eunos",Freehold,,1,5,01-05,2021,12
FOOK HAI BUILDING,SOUTH BRIDGE ROAD,Office,1530000,2021-12-01,Strata,117.0,13077,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,1,5,01-05,2021,12
CENTRAL SQUARE,HAVELOCK ROAD,Office,315000000,2021-12-01,Land,6238.2,50495,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,,,Unknown,2021,12
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,1038000,2021-12-01,Strata,47.0,22085,14," Geylang, Eunos",Leasehold,99.0,1,5,01-05,2021,12
THE CENTRAL,EU TONG SEN STREET,Office,1800000,2021-11-01,Strata,60.0,30000,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,16,20,16-20,2021,11
SUNTEC TOWER ONE,TEMASEK BOULEVARD,Office,4247450,2021-11-01,Strata,150.0,28316,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,6,10,06-10,2021,11
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,1770160,2021-11-01,Strata,81.0,21854,14," Geylang, Eunos",Leasehold,99.0,1,5,01-05,2021,11
VISION EXCHANGE,VENTURE DRIVE,Office,980000,2021-11-01,Strata,48.0,20417,22, Jurong,Leasehold,99.0,6,10,06-10,2021,11
SBF CENTER,ROBINSON ROAD,Office,2080000,2021-11-01,Strata,62.0,33548,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,16,20,16-20,2021,11
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,903000,2021-11-01,Strata,45.0,20067,14," Geylang, Eunos",Leasehold,99.0,6,10,06-10,2021,11
THE MODULES,JOO CHIAT ROAD,Office,750000,2021-11-01,Strata,34.0,22059,15," Katong, Joo Chiat, Amber Road",Freehold,,1,5,01-05,2021,11
FUYUEN COURT,SIMS AVENUE,Office,1630000,2021-11-01,Strata,78.0,20897,14," Geylang, Eunos",Freehold,,1,5,01-05,2021,11
VISION EXCHANGE,VENTURE DRIVE,Office,2900000,2021-11-01,Strata,129.0,22481,22, Jurong,Leasehold,99.0,11,15,11-15,2021,11
CHENN LEONN BUILDING,ALIWAL STREET,Office,2200000,2021-11-01,Strata,154.0,14286,7," Middle Road, Golden Mile",Freehold,,,,Unknown,2021,11
,CHIN SWEE ROAD,Office,820000,2021-11-01,Strata,62.0,13226,3," Queenstown, Tiong Bahru",Leasehold,99.0,6,10,06-10,2021,11
THE MODULES,JOO CHIAT ROAD,Office,930000,2021-11-01,Strata,50.0,18600,15," Katong, Joo Chiat, Amber Road",Freehold,,1,5,01-05,2021,11
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,1880000,2021-11-01,Strata,89.0,21124,14," Geylang, Eunos",Leasehold,99.0,6,10,06-10,2021,11
ONE GEORGE STREET,GEORGE STREET,Office,1281488125,2021-11-01,Land,5596.7,228972,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,,,Unknown,2021,11
PS100,PECK SEAH STREET,Office,1030000,2021-11-01,Strata,39.0,26410,2," Anson, Tanjong Pagar",Leasehold,99.0,11,15,11-15,2021,11
SUNTEC TOWER THREE,TEMASEK BOULEVARD,Office,16000000,2021-11-01,Strata,449.0,35635,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,36,40,21+,2021,11
ROXY SQUARE,EAST COAST ROAD,Office,688000,2021-11-01,Strata,23.0,29913,15," Katong, Joo Chiat, Amber Road",Leasehold,9999.0,1,5,01-05,2021,11
BUKIT TIMAH SHOPPING CENTRE,UPPER BUKIT TIMAH ROAD,Office,1720000,2021-11-01,Strata,116.0,14828,21," Upper Bukit Timah, Clementi Park, Ulu Pandan",Leasehold,999.0,16,20,16-20,2021,11
THE CENTRAL,EU TONG SEN STREET,Office,1450000,2021-11-01,Strata,59.0,24576,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,6,10,06-10,2021,11
SHENTON HOUSE,SHENTON WAY,Office,1075200,2021-11-01,Strata,52.0,20677,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,11,15,11-15,2021,11
CHINATOWN POINT,NEW BRIDGE ROAD,Office,1328000,2021-11-01,Strata,69.0,19246,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,11,15,11-15,2021,11
,ROBINSON ROAD,Office,257500000,2021-11-01,Strata,6566.0,39217,1," Raffles Place, Cecil, Marina, People's Park",Freehold,,16,20,16-20,2021,11
THE PLAZA,BEACH ROAD,Office,300000,2021-11-01,Strata,20.0,15000,7," Middle Road, Golden Mile",Leasehold,99.0,1,5,01-05,2021,11
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,1008000,2021-11-01,Strata,51.0,19765,14," Geylang, Eunos",Leasehold,99.0,6,10,06-10,2021,11
FOOK HAI BUILDING,SOUTH BRIDGE ROAD,Office,900000,2021-10-01,Strata,75.0,12000,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,6,10,06-10,2021,10
SOUTHPOINT,CANTONMENT ROAD,Office,16000000,2021-10-01,Strata,745.0,21477,2," Anson, Tanjong Pagar",Freehold,,6,10,06-10,2021,10
WOODS SQUARE,WOODLANDS SQUARE,Office,1183060,2021-10-01,Strata,52.0,22751,25," Kranji, Woodgrove",Leasehold,99.0,1,5,01-05,2021,10
FOOK HAI BUILDING,SOUTH BRIDGE ROAD,Office,410000,2021-10-01,Strata,28.0,14643,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,1,5,01-05,2021,10
WOODS SQUARE,WOODLANDS SQUARE,Office,1041858,2021-10-01,Strata,52.0,20036,25," Kranji, Woodgrove",Leasehold,99.0,1,5,01-05,2021,10
ARC 380,JALAN BESAR,Office,1911500,2021-10-01,Strata,71.0,26923,8, Little India,Freehold,,6,10,06-10,2021,10
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,1918120,2021-10-01,Strata,88.0,21797,14," Geylang, Eunos",Leasehold,99.0,1,5,01-05,2021,10
GOLDEN MILE COMPLEX,BEACH ROAD,Office,780000,2021-10-01,Strata,39.0,20000,7," Middle Road, Golden Mile",Leasehold,99.0,1,5,01-05,2021,10
FENG MING BUILDING,JALAN BESAR,Office,6700000,2021-10-01,Land,103.3,64860,8, Little India,Leasehold,999.0,,,Unknown,2021,10
THE CENTRAL,EU TONG SEN STREET,Office,1530000,2021-10-01,Strata,57.0,26842,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,6,10,06-10,2021,10
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,1078888,2021-10-01,Strata,50.0,21578,14," Geylang, Eunos",Leasehold,99.0,1,5,01-05,2021,10
WOODS SQUARE,WOODLANDS SQUARE,Office,1100120,2021-10-01,Strata,52.0,21156,25," Kranji, Woodgrove",Leasehold,99.0,6,10,06-10,2021,10
WOODS SQUARE,WOODLANDS SQUARE,Office,2529079,2021-10-01,Strata,117.0,21616,25," Kranji, Woodgrove",Leasehold,99.0,6,10,06-10,2021,10
SBF CENTER,ROBINSON ROAD,Office,2280000,2021-10-01,Strata,70.0,32571,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,16,20,16-20,2021,10
SHENTON HOUSE,SHENTON WAY,Office,1000000,2021-10-01,Strata,52.0,19231,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,16,20,16-20,2021,10
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,1076000,2021-10-01,Strata,50.0,21520,14," Geylang, Eunos",Leasehold,99.0,6,10,06-10,2021,10
SOHO LIFE,JOO CHIAT ROAD,Office,650000,2021-10-01,Strata,38.0,17105,15," Katong, Joo Chiat, Amber Road",Freehold,,1,5,01-05,2021,10
111 SOMERSET,SOMERSET ROAD,Office,2680000,2021-10-01,Strata,93.0,28817,9," Orchard, Cairnhill, River Valley",Leasehold,99.0,6,10,06-10,2021,10
PS100,PECK SEAH STREET,Office,1320000,2021-10-01,Strata,48.0,27500,2," Anson, Tanjong Pagar",Leasehold,99.0,6,10,06-10,2021,10
HIGH STREET CENTRE,NORTH BRIDGE ROAD,Office,588120,2021-10-01,Strata,35.0,16803,6," High Street, Beach Road (part)",Leasehold,99.0,1,5,01-05,2021,10
111 SOMERSET,SOMERSET ROAD,Office,2709837,2021-10-01,Strata,95.0,28525,9," Orchard, Cairnhill, River Valley",Leasehold,99.0,6,10,06-10,2021,10
WOODS SQUARE,WOODLANDS SQUARE,Office,1802326,2021-10-01,Strata,88.0,20481,25," Kranji, Woodgrove",Leasehold,99.0,1,5,01-05,2021,10
BALESTIER POINT,BALESTIER ROAD,Office,645000,2021-10-01,Strata,31.0,20806,12," Balestier, Toa Payoh, Serangoon",Freehold,,1,5,01-05,2021,10
SOHO LIFE,JOO CHIAT ROAD,Office,635000,2021-10-01,Strata,37.0,17162,15," Katong, Joo Chiat, Amber Road",Freehold,,1,5,01-05,2021,10
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,1250000,2021-10-01,Strata,59.0,21186,14," Geylang, Eunos",Leasehold,99.0,1,5,01-05,2021,10
WOODS SQUARE,WOODLANDS SQUARE,Office,900000,2021-10-01,Strata,54.0,16667,25," Kranji, Woodgrove",Leasehold,99.0,1,5,01-05,2021,10
THE CENTRAL,EU TONG SEN STREET,Office,1628000,2021-10-01,Strata,59.0,27593,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,1,5,01-05,2021,10
HIGH STREET PLAZA,HIGH STREET,Office,5400000,2021-10-01,Strata,237.0,22785,6," High Street, Beach Road (part)",Leasehold,999.0,1,5,01-05,2021,10
THE PLAZA,BEACH ROAD,Office,600000,2021-10-01,Strata,40.0,15000,7," Middle Road, Golden Mile",Leasehold,99.0,1,5,01-05,2021,10
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,1900000,2021-10-01,Strata,90.0,21111,14," Geylang, Eunos",Leasehold,99.0,6,10,06-10,2021,10
SOHO LIFE,JOO CHIAT ROAD,Office,650000,2021-10-01,Strata,37.0,17568,15," Katong, Joo Chiat, Amber Road",Freehold,,1,5,01-05,2021,10
VISION EXCHANGE,VENTURE DRIVE,Office,1550000,2021-10-01,Strata,65.0,23846,22, Jurong,Leasehold,99.0,11,15,11-15,2021,10
MILLAGE,CHANGI ROAD,Office,888000,2021-10-01,Strata,16.0,55500,14," Geylang, Eunos",Freehold,,1,5,01-05,2021,10
THE MEZZO,BALESTIER ROAD,Office,1480000,2021-10-01,Strata,90.0,16444,12," Balestier, Toa Payoh, Serangoon",Freehold,,1,5,01-05,2021,10
THE MEZZO,BALESTIER ROAD,Office,980000,2021-10-01,Strata,57.0,17193,12," Balestier, Toa Payoh, Serangoon",Freehold,,1,5,01-05,2021,10
SBF CENTER,ROBINSON ROAD,Office,2560200,2021-10-01,Strata,70.0,36574,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,11,15,11-15,2021,10
SBF CENTER,ROBINSON ROAD,Office,4501600,2021-10-01,Strata,123.0,36598,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,11,15,11-15,2021,10
SBF CENTER,ROBINSON ROAD,Office,2305200,2021-10-01,Strata,63.0,36590,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,11,15,11-15,2021,10
SBF CENTER,ROBINSON ROAD,Office,2020000,2021-10-01,Strata,58.0,34828,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,21,25,21+,2021,10
GOLDEN MILE COMPLEX,BEACH ROAD,Office,310000,2021-10-01,Strata,19.0,16316,7," Middle Road, Golden Mile",Leasehold,99.0,6,10,06-10,2021,10
SUNTEC TOWER TWO,TEMASEK BOULEVARD,Office,10002700,2021-10-01,Strata,404.0,24759,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,6,10,06-10,2021,10
SUNTEC TOWER TWO,TEMASEK BOULEVARD,Office,16166700,2021-10-01,Strata,653.0,24758,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,6,10,06-10,2021,10
SUNTEC TOWER TWO,TEMASEK BOULEVARD,Office,6906900,2021-10-01,Strata,279.0,24756,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,6,10,06-10,2021,10
PEK CHUAN BUILDING,LAVENDER STREET,Office,1330000,2021-10-01,Strata,122.0,10902,12," Balestier, Toa Payoh, Serangoon",Leasehold,99.0,1,5,01-05,2021,10
SHENTON HOUSE,SHENTON WAY,Office,7398888,2021-10-01,Strata,441.0,16778,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,21,25,21+,2021,10
HIGHLAND CENTRE,YIO CHU KANG ROAD,Office,520000,2021-10-01,Strata,36.0,14444,19," Serangoon Garden, Hougang, Punggol",Freehold,,1,5,01-05,2021,10
PLUS,CECIL STREET,Office,1360000,2021-09-01,Strata,45.0,30222,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,1,5,01-05,2021,9
THE CENTRAL,EU TONG SEN STREET,Office,5088684,2021-09-01,Strata,155.0,32830,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,16,20,16-20,2021,9
THE CENTRAL,EU TONG SEN STREET,Office,2790026,2021-09-01,Strata,81.0,34445,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,16,20,16-20,2021,9
THE MODULES,JOO CHIAT ROAD,Office,858000,2021-09-01,Strata,46.0,18652,15," Katong, Joo Chiat, Amber Road",Freehold,,1,5,01-05,2021,9
SOHO LIFE,JOO CHIAT ROAD,Office,683000,2021-09-01,Strata,51.0,13392,15," Katong, Joo Chiat, Amber Road",Freehold,,1,5,01-05,2021,9
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,975000,2021-09-01,Strata,47.0,20745,14," Geylang, Eunos",Leasehold,99.0,6,10,06-10,2021,9
HIGH STREET PLAZA,HIGH STREET,Office,1300000,2021-09-01,Strata,57.0,22807,6," High Street, Beach Road (part)",Leasehold,999.0,1,5,01-05,2021,9
15 SCOTTS,SCOTTS ROAD,Office,2426129,2021-09-01,Strata,61.0,39773,9," Orchard, Cairnhill, River Valley",Freehold,,6,10,06-10,2021,9
15 SCOTTS,SCOTTS ROAD,Office,20400095,2021-09-01,Strata,513.0,39766,9," Orchard, Cairnhill, River Valley",Freehold,,6,10,06-10,2021,9
15 SCOTTS,SCOTTS ROAD,Office,2305680,2021-09-01,Strata,58.0,39753,9," Orchard, Cairnhill, River Valley",Freehold,,6,10,06-10,2021,9
15 SCOTTS,SCOTTS ROAD,Office,2268730,2021-09-01,Strata,57.0,39802,9," Orchard, Cairnhill, River Valley",Freehold,,6,10,06-10,2021,9
15 SCOTTS,SCOTTS ROAD,Office,4533765,2021-09-01,Strata,114.0,39770,9," Orchard, Cairnhill, River Valley",Freehold,,6,10,06-10,2021,9
HOA NAM BUILDING,FOCH ROAD,Office,1445000,2021-09-01,Strata,67.0,21567,8, Little India,Freehold,,1,5,01-05,2021,9
PEOPLE'S PARK CENTRE,UPPER CROSS STREET,Office,1000000,2021-09-01,Strata,56.0,17857,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,6,10,06-10,2021,9
ONE DUSUN RESIDENCES,JALAN DUSUN,Office,364486,2021-09-01,Strata,16.0,22780,12," Balestier, Toa Payoh, Serangoon",Freehold,,1,5,01-05,2021,9
LIANG SEAH COURT,LIANG SEAH STREET,Office,2650000,2021-09-01,Strata,117.0,22650,7," Middle Road, Golden Mile",Leasehold,999.0,1,5,01-05,2021,9
